run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,0,2026-05-21 20:47:35,0.7535631000064313,,,,,,,,,,1649.0041549464518,1,1649.0041549464518,0,33.4710232900268,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,,,,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,,,
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,1,2026-05-21 20:48:22,47.24791000003461,-1.1081413496740824,0.06861676623243568,1792.6472494763286,1654.8168658920044,111.00177544201685,1.0,8,8,0,1799.3007872816152,1,1649.0041549464518,0,45.6360898574125,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.013934214250184596,0.0708691393956542,1.7336005568504333,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,3.55811509990599,42.02263640007004,46.46299489994999
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,2,2026-05-21 20:49:06,91.6676032000687,-1.0740273434608567,0.033324339359621584,1737.4608064970612,1657.2149613741533,53.90899393043246,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.012393090641126037,0.028217547805979848,1.790977030992508,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.3123452999861911,44.04596140002832,44.35846759995911
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,3,2026-05-21 20:49:49,134.50916380004492,-1.1236232404016464,0.07348657541800545,1817.692401737476,1709.909281399916,118.87969647127355,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.014219154720194638,0.012208044063299894,1.7800684869289398,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.3983218000503257,42.40070889994968,42.79915340000298
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,4,2026-05-21 20:50:31,176.13468980009202,-1.0869613618019087,0.04928121137996547,1758.3842495312756,1627.8092517619598,79.72252642421445,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.01144244204624556,0.007552061346359551,1.761571317911148,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.3286109999753535,41.25204010005109,41.58084040007088
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,5,2026-05-21 20:51:14,218.84660320007242,-1.0679654961472287,0.048622797061284716,1727.6545178708698,1558.2059509448586,78.65740542882335,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.026562854181975126,0.0061977284494787455,1.7789708971977234,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.3885618000058457,42.282056299969554,42.670778800034896
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,6,2026-05-21 20:51:55,260.72180050006136,-1.0694760853783678,0.04041188905077583,1730.09820759609,1608.9960224648066,65.37456776098337,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.014318308793008327,0.00618294405285269,1.7445788085460663,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.30396799999289215,41.53453609999269,41.83865369996056
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,7,2026-05-21 20:52:36,301.7898387000896,-1.1415225780911653,0.10381388011993341,1846.6482731937676,1595.276208769595,167.9403685361967,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.020054849097505212,0.00795228430069983,1.8427437543869019,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.2906696000136435,40.738389200065285,41.02919750008732
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,8,2026-05-21 20:53:18,342.88710160006303,-1.101225274081566,0.09105385891229008,1781.4590703764861,1562.0942474568167,147.2984017619501,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.013299579150043428,0.007089033257216215,1.7462182343006134,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.3254146999679506,40.736348500009626,41.061896699946374
PPO_full_u2_t20_seed0_20260521_204735,PPO,full,u2_t20,2,20,0,9,2026-05-21 20:53:58,383.1191697000759,-1.1084291322892765,0.06703901893942063,1793.112797227729,1698.4680901495572,108.44944369659115,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.017115155002102256,0.005087478552013636,1.7922438085079193,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.31699880002997816,39.861032200045884,40.17820870003197
