run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,10,2026-05-21 21:20:05,11.1270812000148,-1.096021708607878,0.1221966535953141,1773.0412296952227,1581.9575779173347,197.67829711189677,1.0,8,8,0,1660.3122126641733,1,1649.0041549464518,0,34.386301781278384,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.010947806295007467,0.006041785818524659,1.7884818613529205,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3175408999668434,0.2753574000671506,0.8112554999534041,0.0013609000016003847,0.1420977001544088,0.12831710022874177
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,11,2026-05-21 21:20:05,11.826375900069252,-1.087964818551981,0.031239994151992904,1760.0075478438193,1692.7607745381852,50.537135543852386,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.016511080786585808,0.003704230213770643,1.7618246525526047,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3265108000487089,0.3111884000245482,0.6378193000564352,0.002449599909596145,0.15796369989402592,0.1336827001068741
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,12,2026-05-21 21:20:06,12.525441200006753,-1.0964091588854197,0.0924577374849267,1773.6680104525226,1539.4791234796796,149.5694649819769,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.026695887092500925,0.0044602094567380846,1.778020977973938,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.32539390004239976,0.3143679000204429,0.6398639000253752,0.0014967999886721373,0.15504400013014674,0.13424220005981624
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,13,2026-05-21 21:20:07,13.215905399993062,-1.0692961568149997,0.03415663179429158,1729.8071360244726,1654.471833527403,55.2553986505614,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.016635848442092538,0.0031983595399651676,1.6668325066566467,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3147683000424877,0.3141270999331027,0.6289954000385478,0.0015586999943479896,0.16352920001372695,0.14558090001810342
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,14,2026-05-21 21:20:07,13.902320399996825,-1.0052891969437319,0.09265288776428401,1626.26267340306,1254.6143589576939,149.8851608195407,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.04794512246735394,0.004551617515971884,1.6928856074810028,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.32866789994295686,0.2981688000727445,0.6269363999599591,0.0014622000744566321,0.15268950024619699,0.1406489999499172
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,15,2026-05-21 21:20:08,14.571666600066237,-0.9895419438148302,0.042013749077634416,1600.7882427118527,1523.437487749566,67.96590682800637,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.0023971067275851965,0.0027873017825186253,1.5951623320579529,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31996820005588233,0.2840082999318838,0.6040764000499621,0.0016301000723615289,0.14374699990730733,0.13511360017582774
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,16,2026-05-21 21:20:09,15.373602000065148,-0.9860764758753765,0.09016731456568217,1595.1821333724283,1221.8913257896538,145.86423338175828,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.010643662535585463,0.004058448044816032,1.683260202407837,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.46445819991640747,0.2787948000477627,0.7433450999669731,0.0019217999652028084,0.13964779989328235,0.13384099979884923
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,17,2026-05-21 21:20:09,16.057194900000468,-1.0499422339981037,0.04428118185759814,1698.4981730347874,1622.4311686948538,71.63394713493106,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.04343946999870241,0.0035170127521269023,1.7026128768920898,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3247816999210045,0.2942911999998614,0.6191534999525174,0.0017933000344783068,0.14665580005384982,0.1342860001605004
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,18,2026-05-21 21:20:10,16.751952100079507,-1.0160344853601073,0.0502147804197697,1643.6453942356602,1502.6215543455858,81.23276694713462,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.018320389557629824,0.0033483811130281538,1.610731840133667,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31533580005634576,0.3182099999394268,0.6336451000533998,0.001816699979826808,0.16105580003932118,0.13414309988729656
PPO_full_u2_t20_seed0_20260521_211953,PPO,full,u2_t20,2,20,0,19,2026-05-21 21:20:11,17.450613100081682,-0.9786694966627261,0.11812288101928951,1583.199816390582,1264.055263256339,191.08812952582988,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.03804430062882602,0.004487072175834328,1.5636745542287827,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.32777730002999306,0.3121042000129819,0.6399621000746265,0.001424900023266673,0.16250610002316535,0.14508630009368062
