run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,update_micro_batch_size,max_update_pairs,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec,effective_update_batch_size,effective_update_micro_batch_size,pairs_per_state,protocol,visit_index,steps_collected,rollout_time_per_decision_ms,eval_steps,eval_solve_time_sec,eval_time_per_decision_ms,exploration_epsilon
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t20,2,20,0,1,2026-08-04 19:16:49,5.832636900013313,,,1837.103382660789,1556.8223563524007,178.70077139114227,1.0,8,8,0,1621.5832160446635,1,1621.5832160446635,1,31.25156206925514,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.0557236522436142,0.5748664736747742,1.7870415449142456,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u2_t20_seed0.pth,,,5.820453599997563,,,,,,,round_robin,1,160,,20,0.09810450000804849,4.9052250004024245,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t40,2,40,0,2,2026-08-04 19:17:00,16.686193000001367,,,3224.154108788076,2964.27152651177,245.35393517069372,1.0,8,8,0,2573.0673542895843,1,2573.0673542895843,2,43.754532076919276,MinBattery_NearestTask,1789.903467469675,2985.7040913621695,0.3743109405040741,0.037836648523807526,2.231022357940674,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u2_t40_seed0.pth,,,10.833033799979603,,,,,,,round_robin,1,320,,40,0.558956599998055,13.973914999951376,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t60,2,60,0,3,2026-08-04 19:17:18,34.22558470000513,,,4544.105721862661,4367.212039891204,182.56682789459768,1.0,8,8,0,3031.3148980501255,1,3031.3148980501255,3,21.680588541954492,MinBattery_NearestTask,2491.2066372895233,4452.979979969232,0.08998212218284607,0.12089229375123978,2.5336132049560547,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u2_t60_seed0.pth,,,17.514226700004656,,,,,,,round_robin,1,480,,60,0.5431568000058178,9.052613333430296,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t80,2,80,0,4,2026-08-04 19:17:46,62.50370010000188,,,5357.941345703858,5066.8586762559435,210.10364798667635,1.0,8,8,0,3655.724546377553,1,3655.724546377553,4,43.301063407266696,MinBattery_NearestTask,2551.0798450866023,5725.724036335487,0.16810660064220428,0.10673606395721436,2.7567367553710938,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u2_t80_seed0.pth,,,28.255317000002833,,,,,,,round_robin,1,640,,80,0.8248975000169594,10.311218750211992,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t100,2,100,0,5,2026-08-04 19:18:19,94.98787209999864,,,6962.398164372606,6658.828430372322,227.0785673921832,1.0,8,8,0,4787.181015734164,1,4787.181015734164,5,46.117006138623786,MinBattery_NearestTask,3276.265468505754,6667.618839462179,0.1621881127357483,0.06623545289039612,2.9573378562927246,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u2_t100_seed0.pth,,,32.46162819999154,,,,,,,round_robin,1,800,,100,1.995814399997471,19.95814399997471,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t20,4,20,0,6,2026-08-04 19:18:25,101.21042570000282,,,1126.1528608156952,1050.2799697306912,34.210372013346635,1.0,8,8,0,973.4590454669338,1,973.4590454669338,6,53.34379736951795,MinBattery_NearestTask,634.8212723082338,1116.781447019792,-0.3514937162399292,0.08969228714704514,2.0457417964935303,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u4_t20_seed0.pth,,,6.182435099995928,,,,,,,round_robin,1,160,,20,0.11950390000129119,5.975195000064559,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t40,4,40,0,7,2026-08-04 19:18:38,114.15447790001053,,,1759.1764404647222,1576.294442940473,76.51749825894555,1.0,8,8,0,1561.0861031669529,1,1561.0861031669529,7,29.217245612929332,MinBattery_NearestTask,1208.1097192267905,1809.9456757002988,-0.0221859198063612,0.03460419550538063,2.4743919372558594,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u4_t40_seed0.pth,,,12.92046009999467,,,,,,,round_robin,1,320,,40,0.3563049999938812,8.90762499984703,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t60,4,60,0,8,2026-08-04 19:18:56,132.25513720000163,,,2449.2564486710758,2347.2629455086503,131.31811898205626,1.0,8,8,0,2196.544389860219,1,2196.544389860219,8,28.58415484693729,MinBattery_NearestTask,1708.2543276618485,2452.0766097704714,0.09768541157245636,0.011831352487206459,2.6232173442840576,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u4_t60_seed0.pth,,,18.06969229999231,,,,,,,round_robin,1,480,,60,0.5477903999853879,9.129839999756467,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t80,4,80,0,9,2026-08-04 19:19:20,156.5992213000136,,,2993.0417816880445,2861.6403803549747,71.44514736515535,1.0,8,8,0,2290.9340250305527,1,2290.9340250305527,9,24.341492684118922,MinBattery_NearestTask,1842.4533722226693,3001.7744400044194,0.16704486310482025,0.01265139039605856,2.8970096111297607,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u4_t80_seed0.pth,,,24.31249400001252,,,,,,,round_robin,1,640,,80,1.2861435000086203,16.076793750107754,
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t100,4,100,0,10,2026-08-04 19:19:53,189.87348320000456,,,3777.031230949576,3290.2394122613905,188.91742124327862,1.0,8,8,0,3132.956083345542,1,3132.956083345542,10,59.792635136209185,MinBattery_NearestTask,1960.6385993165281,3788.7440276745037,0.26031848788261414,0.017520712688565254,3.0726146697998047,,,,,,256,3,4,,,,,,,0.99,,,0.01,,models\best_A2C_u4_t100_seed0.pth,,,33.23454770000535,,,,,,,round_robin,1,800,,100,1.0140056000091136,10.140056000091136,
