run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec
PPO_full_u2_t20_seed0_20260521_201915,PPO,full,u2_t20,2,20,0,0,2026-05-21 20:19:16,0.7629182999953628,,,,,,,,,,1649.0041549464518,1,1649.0041549464518,0,33.4710232900268,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,,,,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,,,
PPO_full_u2_t20_seed0_20260521_201915,PPO,full,u2_t20,2,20,0,1,2026-05-21 20:20:03,47.73669529997278,-1.1081413496740824,0.06861676623243568,1792.6472494763284,1654.8168658920044,111.00177544201685,1.0,8,8,0,1821.0683199627401,1,1649.0041549464518,0,47.397962229130805,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.015557629754766822,0.07023226516321301,1.7346280813217163,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,3.2335496000014246,43.142778099980205,46.96689869998954
PPO_full_u2_t20_seed0_20260521_201915,PPO,full,u2_t20,2,20,0,2,2026-05-21 20:20:45,90.07783279998694,-1.0622148364986543,0.03762203302665721,1718.3516394928333,1596.8649279574315,60.86140007750856,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.021860874723643064,0.02802692144177854,1.8053301870822906,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,0.99,0.95,0.2,0.01,1,models\best_u2_t20_seed0.pth,0.4026296000229195,41.93822269991506,42.34100439993199
