run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,update_micro_batch_size,max_update_pairs,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec,effective_update_batch_size,effective_update_micro_batch_size,pairs_per_state
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,0,2026-05-22 14:45:39,2.474086600006558,,,,,,,,,,1782.887006192552,1,1782.887006192552,0,50.187025773653936,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,,,,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,,,,,,,,,
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,1,2026-05-22 14:45:49,12.151563200051896,-1.1639235641291399,0.021100703480977638,1767.0399709670282,1726.181891189126,32.03456619963554,1.0,8,8,0,1756.2087539743163,1,1756.2087539743163,1,47.93970031804204,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.04708531146336879,0.020358191852340366,3.371642218437046,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,5.47844089998398,2.4016117999562994,9.647713899961673,0.014737799996510148,1.3381499998504296,1.040985400089994,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,2,2026-05-22 14:45:53,16.5203425999498,-1.190238810872447,0.022812715373279575,1806.9911277906945,1742.5820775871546,34.633700316085736,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.03542494386523946,0.005215860485869988,3.3482307074591517,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,2.125630300026387,2.1722648000577465,4.297990499995649,0.01588740001898259,1.3030491003300995,0.8421949000330642,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,3,2026-05-22 14:45:57,20.88171039998997,-1.1811442411519089,0.035718791354648956,1793.1839769517464,1700.8762170703046,54.22738570081328,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.032837678428872356,0.004097482076498896,3.3555259624762193,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,2.07360810006503,2.228462499915622,4.30217579996679,0.012815000023692846,1.3159634998301044,0.886523200199008,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,4,2026-05-22 14:46:02,25.30206909996923,-1.182546569711394,0.019703057264180472,1795.312957490853,1742.5110981453452,29.91269427740213,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.02819803632831151,0.003074083849436907,3.3366310776743506,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,2.0708819000283256,2.268942499998957,4.339950600056909,0.014658599975518882,1.3347935000201687,0.9052179998252541,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,5,2026-05-22 14:46:07,30.523179800016806,-1.1791471023278883,0.026190225371281003,1790.1519701788143,1714.6467554396568,39.76135246846285,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.04328378908342399,0.002733999658565673,3.3380619468433514,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,2.924212699988857,2.22954440000467,5.153869699919596,0.015440599992871284,1.3723518999759108,0.8262094998499379,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,6,2026-05-22 14:46:12,35.864613299956545,-1.1608343318767136,0.03779769385527891,1762.3499749588095,1657.566212930006,57.38352406553911,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.03307495235276292,0.0023476778551087462,3.3263582007826438,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,3.1678664000937715,2.1065078999381512,5.27450850000605,0.01469600002747029,1.2755200002575293,0.800491000409238,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,7,2026-05-22 14:46:18,41.550105900038034,-1.168666535637655,0.03652194773195822,1774.2406330164947,1675.2642800197837,55.44671785060485,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.03623187752548672,0.002017908353146985,3.3551286568732133,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,3.0071715000085533,2.604746100027114,5.612030199961737,0.015146299963817,1.3210545999463648,1.2539961998118088,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,8,2026-05-22 14:46:24,46.93420979997609,-1.1600164006338813,0.07202401768845276,1761.1082119735668,1563.580264854314,109.34508248430953,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.032885856197806006,0.0020124475342007436,3.3627006140138422,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,3.090770600014366,2.229492999962531,5.32037989993114,0.022755000041797757,1.3515829999232665,0.8419387002941221,128,65,1000
PPO_full_u10_t100_seed0_20260522_144537,PPO,full,u10_t100,10,100,0,9,2026-05-22 14:46:29,52.12308509997092,-1.1884782925219193,0.02262008513995456,1804.3183523689413,1734.3090891475235,34.34125385964107,1.0,8,8,0,,,1756.2087539743163,1,,MinBattery_NearestTask,1187.1112015225146,1816.9612465912573,-0.027880029733101504,0.0018167853857968502,3.362862592296941,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,0,65536,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u10_t100_seed0.pth,2.969346800004132,2.137749499990605,5.107204500003718,0.016325299977324903,1.2683906002203003,0.8387041002279148,128,65,1000
