run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,epoch,timestamp,elapsed_sec,train_reward_avg,train_reward_std,train_makespan_avg,train_makespan_min,train_makespan_std,success_rate,n_trajectories,n_success,n_failed,eval_makespan,eval_success,best_eval_makespan,best_eval_epoch,gap_to_best_rule_percent,best_rule_name,best_rule_makespan,random_makespan,actor_loss,critic_loss,entropy,lr_actor_encoder,lr_actor,lr_critic_encoder,lr_critic,lr_shared_encoder,hidden_dim,hgnn_layers,n_heads,ppo_epochs,vectorized_update,update_batch_size,max_update_pairs,update_shuffle,gamma,gae_lambda,clip_epsilon,entropy_coef,reward_normalization,best_model_path,rollout_time_sec,update_time_sec,epoch_time_sec,batch_prepare_time_sec,actor_update_time_sec,critic_update_time_sec,effective_update_batch_size,pairs_per_state
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,0,2026-05-22 13:51:17,0.5475291000911966,,,,,,,,,,1649.0041549464518,1,1649.0041549464518,0,33.4710232900268,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,,,,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,,,,,,,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,1,2026-05-22 13:51:21,5.0092949999962,-1.1081413496740824,0.06861676623243568,1792.6472494763284,1654.8168658920044,111.00177544201685,1.0,8,8,0,1774.734201652322,1,1649.0041549464518,0,43.64766107580625,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.08564919210039079,0.041957667912356555,1.7418651580810547,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,3.7588927999604493,0.47213140001986176,4.4302512999856845,0.0020531999180093408,0.2031823998549953,0.2634334998438135,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,2,2026-05-22 13:51:22,5.647023600060493,-1.0702344146964027,0.04329459475263985,1731.3249617160154,1596.8649279574315,70.03793895367109,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.009937183000147343,0.013765496318228543,1.8109207153320312,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3055173000320792,0.27972939994651824,0.5853504000697285,0.0025263000279664993,0.14975529990624636,0.12390910019166768,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,3,2026-05-22 13:51:22,6.289566799998283,-1.100866351782094,0.058380829412259055,1780.8784395092114,1708.5905673614989,94.44303589863664,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.014119884697720408,0.00836364080896601,1.7828550040721893,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.294407399953343,0.28426179999951273,0.5787583999335766,0.0015420999843627214,0.14478270011022687,0.13434939994476736,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,4,2026-05-22 13:51:23,6.975103400065564,-1.12655801770802,0.0776540228291896,1822.4400094931507,1696.3966859680024,125.62140242890587,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.008259429596364498,0.008323156274855137,1.7680036425590515,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.333414199994877,0.3003783000167459,0.6339012000244111,0.0016203999985009432,0.15007279987912625,0.14462759997695684,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,5,2026-05-22 13:51:24,7.621783500071615,-1.0717122544118571,0.05235501376991467,1733.7156723431892,1558.2059509448586,84.69503593430257,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.05214407644234598,0.005324135301634669,1.7563885152339935,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.31431559997145087,0.27794950001407415,0.5923717999830842,0.0017609000205993652,0.14458280010148883,0.12691019976045936,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,6,2026-05-22 13:51:24,8.26776560000144,-1.064907054277144,0.03964368843447539,1722.706857170633,1608.9960224648066,64.13184477960377,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.008973141200840473,0.004800182883627713,1.709170162677765,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.29127219994552433,0.29446729994378984,0.5858413999667391,0.0014945999719202518,0.14985150005668402,0.13881440029945225,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,7,2026-05-22 13:51:25,8.902279500034638,-1.1740724261311422,0.13118465186243686,1899.3043676323502,1595.276208769595,212.21823858831078,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.006458592601120472,0.008436829899437726,1.7989115864038467,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3020366000710055,0.2769559998996556,0.5790970000671223,0.0013422999763861299,0.14148020010907203,0.1299550001276657,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,8,2026-05-22 13:51:26,9.550607300014235,-1.091443543060191,0.15092140071783963,1765.635102418118,1219.020995667319,244.14650167464814,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,-0.026004291139543056,0.008365552348550409,1.7950506508350372,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.3019538000226021,0.28900529991369694,0.5910783000290394,0.001674200058914721,0.15751739975530654,0.12536479998379946,,
PPO_full_u2_t20_seed0_20260522_135116,PPO,full,u2_t20,2,20,0,9,2026-05-22 13:51:26,10.182111000060104,-1.0759627934222504,0.07594887064442288,1740.5917961048508,1597.7307273903166,122.86296698665863,1.0,8,8,0,,,1649.0041549464518,0,,MinBattery_NearestTask,1235.4772701211982,1648.142715048298,0.023538759211078286,0.004658902413211763,1.737681046128273,0.0001,0.0003,0.0001,0.0003,,256,3,4,4,1,128,,1,0.99,0.95,0.2,0.01,1,D:\Python project\HGNN_PPO_USV_Scheduling\models\best_u2_t20_seed0.pth,0.30434189992956817,0.2737178000388667,0.5781641999492422,0.0013620000099763274,0.1397318000672385,0.12867550004739314,,
