run_id,algorithm,variant,instance_id,n_usvs,n_tasks,seed,last10_mean,last10_std,last10_min,best_eval_makespan,best_rule_makespan,gap_to_best_rule_percent,mean_epoch_time_sec,mean_rollout_time_sec,mean_update_time_sec,total_train_time_sec,training_log_path
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u10_t100,10,100,0,1061.6220322355416,27.2262880349233,1033.0542227490905,675.3196972630328,1187.1112015225146,-10.570970025893821,30.909444664499315,,,82288.83716710002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u10_t20,10,20,0,543.4683930638533,17.736008739588627,520.8840753418974,480.20300061279926,513.442349514357,5.847987330592548,5.116626010999171,,,82206.57910570002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u10_t40,10,40,0,611.2698091534194,15.758810276392293,591.0701758873469,586.3696437196377,627.4656809475473,-2.581156593245107,10.79013426949983,,,82217.60861200001,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u10_t60,10,60,0,701.0239803456458,97.37536895685854,654.4188323372878,636.8282197692406,671.9934380046263,4.320063366574062,16.96707564800163,,,82234.58848020001,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u10_t80,10,80,0,1058.7252176028283,20.24270817965618,1031.7980306779405,666.1063480432047,1137.024794303537,-6.886356136909893,23.697275832499727,,,82257.91264220001,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t100,2,100,0,3263.5995273985277,85.53743680231288,3152.9519804157967,2956.72817395887,3276.265468505754,-0.38659691129983903,26.45240571000046,,,81959.16807360001,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t20,2,20,0,1240.6144704936603,105.1479786892543,1118.9516495290468,1108.007521941752,1235.4772701211982,0.4158069514268056,4.788195992001274,,,81888.46354190001,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t40,2,40,0,1802.674317178332,53.41108494207975,1711.7634978840017,1488.3892827924665,1789.903467469675,0.7134937688405529,9.741480863501637,,,81898.0905816,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t60,2,60,0,2331.1355976565383,202.17502813691155,2096.61536902336,2096.61536902336,2491.2066372895238,-6.4254420824418474,15.06451567050084,,,81913.2341081,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u2_t80,2,80,0,2818.0115888721166,152.54143426782116,2609.337224916085,2389.947139308473,2551.0798450866023,10.463480564892029,20.634317711499463,,,81933.28390080002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t100,4,100,0,2068.0604946994586,90.63950864059642,1905.3988014495733,1778.6133150725043,1960.638599316528,5.478923827184548,27.569800095999526,,,82035.9223685,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t20,4,20,0,832.5748976924348,104.33774998663121,626.9587098903362,581.728146969744,634.8212723082338,31.151071019589722,4.845082757999335,,,81963.85257440002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t40,4,40,0,1162.0514449450507,69.21497629180872,1079.6888229006297,881.4238930079952,1208.1097192267905,-3.8124247780423346,9.953440975501872,,,81973.64188560002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t60,4,60,0,1637.5722414872585,39.23752626764667,1535.4533247916554,1181.369656333144,1708.2543276618485,-4.137679327371308,15.341896602000634,,,81988.61480560002,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
A2C_baseline_public25_seed0_20260804_191643,A2C,baseline,u4_t80,4,80,0,1835.8038935712216,51.81682324627434,1761.7126074077005,1567.1681424640635,1842.4533722226693,-0.36090349702722674,21.26872941600028,,,82009.2444013,results\training_logs\A2C_baseline_public25_seed0_20260804_191643.csv
