instance_id,n_usvs,n_tasks,best_rule_cmax,a2c_last10_mean,a2c_last10_std,a2c_epoch_time_mean_sec,dqn_last10_mean,dqn_last10_std,dqn_epoch_time_mean_sec,ddqn_last10_mean,ddqn_last10_std,ddqn_epoch_time_mean_sec,reinforce_last10_mean,reinforce_last10_std,reinforce_epoch_time_mean_sec,ours_last10_mean,ours_last10_std,ours_epoch_time_mean_sec,ours_gap_vs_best_drl_percent
u2_t20,2,20,1235.4772701211982,1240.6144704936603,105.1479786892543,4.788195992001274,1517.8469404721382,107.70242548331649,5.608435679498943,1589.3714577784535,50.659087969954214,7.1552915365007355,1334.6101157209646,201.70104196962743,2.7215148915000484,1161.763836564628,29.15408096872985,0.8806452010000066,-6.355772546942511
u2_t40,2,40,1789.903467469675,1802.674317178332,53.41108494207975,9.741480863501637,2482.3105910095264,84.7654565867845,7.1405779414999415,2587.0852137168995,269.16151661313296,8.845736289002817,2018.140305235943,434.9091837077553,5.54995806449966,1714.9948089622121,92.18089522840933,1.5702943899998718,-4.86385740233776
u2_t60,2,60,2491.2066372895238,2331.1355976565383,202.17502813691155,15.06451567050084,3208.254124739636,165.11385994320352,9.209416372003034,3119.2058118667146,49.30545981419294,11.075873255502374,2764.407029625054,636.1920290173755,8.672140794999791,2395.3889415041085,64.09837219207586,2.4343471625000164,2.756310868924285
u2_t80,2,80,2551.0798450866023,2818.0115888721166,152.54143426782116,20.634317711499463,3614.993257425596,220.53231289773433,11.843711834000132,3667.7934041696594,298.0220280969205,13.806472421000072,3322.8400994446165,677.5127658169627,12.108011460500116,2524.4993815499365,57.33642446665197,3.436931778999933,-10.415578434141771
u2_t100,2,100,3276.265468505754,3263.5995273985277,85.53743680231288,26.45240571000046,4188.288605791129,315.2536109664913,14.957845595000835,4515.187177670776,237.8803916790366,17.01337174950022,3754.879635162589,800.802810346173,15.720697562000044,3085.189686947537,134.35328659321112,4.769698096000102,-5.466658484081964
u4_t20,4,20,634.8212723082338,832.5748976924348,104.33774998663121,4.845082757999335,1091.5563586835979,80.02104335332405,5.756843348999101,960.2875187541428,23.152004591845827,7.287372278499533,844.6131854885792,80.93567717923133,2.7794546584997533,639.1099754000007,67.05533840216576,0.8855010894997395,-23.236939142489348
u4_t40,4,40,1208.1097192267905,1162.0514449450507,69.21497629180872,9.953440975501872,1576.1967066201553,188.9623532240558,7.477974119999853,1768.0025219492957,60.15715103543546,9.169386400002404,1201.706916112796,173.00433096577848,5.742729135500338,1006.1130704702518,92.31005147627589,1.6854150369997296,-13.419231579904158
u4_t60,4,60,1708.2543276618485,1637.5722414872585,39.23752626764667,15.341896602000634,2084.9355404957705,211.54147854826428,9.762966370498761,2068.7764829931466,207.24699147570726,11.536844482500165,1651.3508726912412,268.4977318102285,8.98246719399973,1226.3175422912598,74.96086611388623,2.6509503245001906,-25.113682851786333
u4_t80,4,80,1842.4533722226693,1835.8038935712216,51.81682324627434,21.26872941600028,2413.8035884612505,67.78197738819335,12.798834815999726,2501.2958637600714,168.31801153553144,14.84526597250282,1922.7185292635172,229.61993963368315,12.813037520999801,1623.2145006314483,99.73070482166092,4.455347069500058,-11.580179870204946
u4_t100,4,100,1960.638599316528,2068.0604946994586,90.63950864059642,27.569800095999526,2919.8182741745554,259.62158119450805,16.314824804500677,3074.563061394428,216.61695037136462,18.662360119500374,2300.715011147069,263.77301487848746,16.889076616000274,1855.0331347719075,60.54630831440366,6.003745830499975,-10.300828262691093
u6_t20,6,20,539.1873163996008,561.0587292561652,7.057257692396747,4.934208168499172,843.4971835107237,148.47096127914824,5.915006121000042,756.8102922462855,131.32231194007878,7.569212403999408,536.7709740462726,20.73071151076457,2.872692332499989,553.128305081128,18.952586342022745,0.9231000884999958,3.0473575930440147
u6_t40,6,40,1013.277564801122,779.1427707483076,164.30052940956662,10.136302027500351,1098.5769614313413,54.323442627240624,7.861659030499868,1197.8764645349215,33.23960593117028,9.644681870001078,1026.3664940066312,52.53853024023705,5.9524855270000305,698.5693396155009,117.61059859309215,1.7864002759998403,-10.341292271174133
u6_t60,6,60,1204.447338100797,1113.740749246614,42.14901680576433,15.900093622000277,1305.003563718909,126.811648576214,10.65945928350091,1404.4798086454703,145.95100902331808,12.636143844997278,1147.0542630795085,72.33826295512927,9.587330285000112,1007.4507407347419,80.94950547569485,3.384722472000358,-9.543514375654452
u6_t80,6,80,1282.4893662509803,1290.854669896094,89.19187572357094,22.05382284449908,1822.831038080815,51.21171770778584,14.027791224998946,1921.6986559593133,31.960110420437278,16.286632990500657,1412.2005417132011,193.9988653968364,13.574667753499972,1158.690342662337,39.315137129704695,4.754125917000128,-10.238513313384502
