instance_id,n_usvs,n_tasks,R1_cmax,R1_time_sec,R2_cmax,R2_time_sec,R3_cmax,R3_time_sec,R4_cmax,R4_time_sec,R5_cmax,R5_time_sec,best_rule_name,best_rule_cmax,ours_last10_mean,ours_last10_std,ours_last10_min,ours_epoch_time_mean_sec,gap_percent
u2_t20,2,20,1235.4772701211982,0.005903400000534,1235.4772701211982,0.0059177000002819,1235.4772701211982,0.0059677000026567,1235.4772701211982,0.0060379999995348,1648.142715048298,0.0062655000001541,MinBattery_NearestTask,1235.4772701211982,1161.763836564628,29.15408096872985,1130.2658286606777,0.8806452010000066,-5.966393339582768
u2_t40,2,40,1789.903467469675,0.0229297000041697,1789.903467469675,0.0223458999971626,1789.903467469675,0.0224397000056342,1789.903467469675,0.0224927000017487,2985.704091362169,0.0219226000044727,MinBattery_NearestTask,1789.903467469675,1714.9948089622121,92.18089522840933,1511.945509929266,1.5702943899998718,-4.185066952988178
u2_t60,2,60,2491.2066372895238,0.0486869000014849,2491.2066372895238,0.048607799995807,2491.2066372895238,0.0493084999980055,2491.2066372895238,0.0483967999971355,4452.979979969232,0.0465208999958122,MinBattery_NearestTask,2491.2066372895238,2395.3889415041085,64.09837219207586,2324.5442895655174,2.4343471625000164,-3.8462363720123425
u2_t80,2,80,2551.0798450866023,0.084922899994126,2551.0798450866023,0.0849471000037738,2551.0798450866023,0.0844102000046405,2551.0798450866023,0.0847028999996837,5725.724036335487,0.0816878999976324,MinBattery_NearestTask,2551.0798450866023,2524.4993815499365,57.33642446665197,2429.7187925501958,3.436931778999933,-1.0419298944272535
u2_t100,2,100,3276.265468505754,0.1308981999973184,3276.265468505754,0.1314867999972193,3276.265468505754,0.1302240000004531,3276.265468505754,0.1303589999952237,6667.618839462179,0.1257471999997506,MinBattery_NearestTask,3276.265468505754,3085.189686947537,134.35328659321112,2743.9589785586777,4.769698096000102,-5.832121462531031
u4_t20,4,20,634.8212723082338,0.0087368999957107,634.8212723082338,0.0086429000002681,634.8212723082338,0.0088375000050291,634.8212723082338,0.0088412999975844,1116.781447019792,0.0085529999996651,MinBattery_NearestTask,634.8212723082338,639.1099754000007,67.05533840216576,599.349490529218,0.8855010894997395,0.6755764620446711
u4_t40,4,40,1208.1097192267905,0.0309281000008923,1208.1097192267905,0.0311660000006668,1208.1097192267905,0.0313959999984945,1208.1097192267905,0.0314633000016328,1809.9456757002988,0.0307138999996823,MinBattery_NearestTask,1208.1097192267905,1006.1130704702518,92.31005147627589,855.1441528153003,1.6854150369997296,-16.720058248171345
u4_t60,4,60,1708.2543276618485,0.0684465000013005,1708.2543276618485,0.0687542000014218,1708.2543276618485,0.0695444000011775,1708.2543276618485,0.0706324000057065,2452.076609770472,0.0688491000037174,MinBattery_NearestTask,1708.2543276618485,1226.3175422912598,74.96086611388623,1158.0870163318043,2.6509503245001906,-28.21223851545768
u4_t80,4,80,1842.4533722226693,0.1232261999975889,1842.4533722226693,0.1233016000041971,1842.4533722226693,0.1232648000004701,1842.4533722226693,0.1224617999978363,3001.7744400044194,0.1199829999968642,MinBattery_NearestTask,1842.4533722226693,1623.2145006314483,99.73070482166092,1462.4484938131482,4.455347069500058,-11.89929009311856
u4_t100,4,100,1960.638599316528,0.1907406999962404,1960.638599316528,0.1909878000005846,1960.638599316528,0.1916644000011729,1960.638599316528,0.1916673999949125,3788.744027674504,0.1873019999984535,MinBattery_NearestTask,1960.638599316528,1855.0331347719075,60.54630831440366,1762.6905549067485,6.003745830499975,-5.386278969588487
