instance_id,n_usvs,n_tasks,rule_name,makespan,solve_time_sec,is_best_rule
u2_t20,2,20,MinBattery_NearestTask,1235.4772701211982,0.00590340000053402,1
u2_t20,2,20,MaxBattery_NearestTask,1235.4772701211982,0.005917700000281911,0
u2_t20,2,20,NearestOrigin_NearestTask,1235.4772701211982,0.005967700002656784,0
u2_t20,2,20,FarthestOrigin_NearestTask,1235.4772701211982,0.006037999999534804,0
u2_t20,2,20,Random,1648.142715048298,0.006265500000154134,0
u2_t40,2,40,MinBattery_NearestTask,1789.903467469675,0.022929700004169717,1
u2_t40,2,40,MaxBattery_NearestTask,1789.903467469675,0.022345899997162633,0
u2_t40,2,40,NearestOrigin_NearestTask,1789.903467469675,0.022439700005634222,0
u2_t40,2,40,FarthestOrigin_NearestTask,1789.903467469675,0.022492700001748744,0
u2_t40,2,40,Random,2985.7040913621695,0.02192260000447277,0
u2_t60,2,60,MinBattery_NearestTask,2491.2066372895233,0.0486869000014849,1
u2_t60,2,60,MaxBattery_NearestTask,2491.2066372895233,0.048607799995807,0
u2_t60,2,60,NearestOrigin_NearestTask,2491.2066372895233,0.04930849999800557,0
u2_t60,2,60,FarthestOrigin_NearestTask,2491.2066372895233,0.04839679999713553,0
u2_t60,2,60,Random,4452.979979969232,0.046520899995812215,0
u2_t80,2,80,MinBattery_NearestTask,2551.0798450866023,0.08492289999412606,1
u2_t80,2,80,MaxBattery_NearestTask,2551.0798450866023,0.08494710000377381,0
u2_t80,2,80,NearestOrigin_NearestTask,2551.0798450866023,0.0844102000046405,0
u2_t80,2,80,FarthestOrigin_NearestTask,2551.0798450866023,0.08470289999968372,0
u2_t80,2,80,Random,5725.724036335487,0.08168789999763248,0
u2_t100,2,100,MinBattery_NearestTask,3276.265468505754,0.13089819999731844,1
u2_t100,2,100,MaxBattery_NearestTask,3276.265468505754,0.13148679999721935,0
u2_t100,2,100,NearestOrigin_NearestTask,3276.265468505754,0.1302240000004531,0
u2_t100,2,100,FarthestOrigin_NearestTask,3276.265468505754,0.1303589999952237,0
u2_t100,2,100,Random,6667.618839462179,0.1257471999997506,0
u4_t20,4,20,MinBattery_NearestTask,634.8212723082338,0.0087368999957107,1
