instance_id,n_usvs,n_tasks,full_last10_mean,full_last10_std,full_epoch_time_mean_sec,no_hgnn_last10_mean,no_hgnn_last10_std,no_hgnn_epoch_time_mean_sec,no_hgnn_gap_to_full_percent,shared_encoder_last10_mean,shared_encoder_last10_std,shared_encoder_epoch_time_mean_sec,shared_encoder_gap_to_full_percent,no_reward_norm_last10_mean,no_reward_norm_last10_std,no_reward_norm_epoch_time_mean_sec,no_reward_norm_gap_to_full_percent
u2_t20,2,20,1161.763836564628,29.15408096872985,0.8806452010000066,1181.3255920689899,13.122496556047462,0.3252986764992238,1.6837979362661646,1347.2875747505382,212.34207120602287,0.7043143575001158,15.969143843770317,1244.654118025651,149.8118339155827,0.8720605324995995,7.134865008893048
u2_t40,2,40,1714.9948089622121,92.18089522840933,1.5702943899998718,1752.1097324764683,114.38505364407506,0.5964813140001933,2.1641420324015637,1859.2915519460178,61.057815620414644,1.3532520214995747,8.413829722967112,1849.87802131684,51.36308143898557,1.5913252689992077,7.864934147307956
u2_t60,2,60,2395.3889415041085,64.09837219207586,2.4343471625000164,2485.9569660993075,85.52504062017746,0.9765237144995627,3.78093189903138,2476.539744497789,45.20760867962348,2.167159777000634,3.3877923366684786,2499.6682477226655,47.73539739106719,2.4764254095016804,4.353335043497281
u2_t80,2,80,2524.4993815499365,57.33642446665197,3.436931778999933,2559.7268129222794,61.79059483181891,1.4862706095002796,1.3954224599854992,2674.9976426478433,244.78832735002354,3.1029638965000776,5.961509129208312,2838.474701706668,159.20216039148727,3.4996616464998804,12.437131989470473
u2_t100,2,100,3085.189686947537,134.35328659321112,4.769698096000102,3311.862678255292,210.52683035178796,2.099574434000024,7.3471330552781415,3243.781965067247,60.91452090386143,4.25391540000026,5.140438488779584,3392.3626761624146,222.14706731821065,4.848352767999313,9.956372877636316
u4_t20,4,20,639.1099754000007,67.05533840216576,0.8855010894997395,607.9534906196222,14.165765118383712,0.3295831394993729,-4.874980203661903,660.3945556723394,85.5711994125547,0.7069592160003958,3.330347059442662,751.5607880761413,137.0465920907386,0.8843224824997015,17.594908075994404
u4_t40,4,40,1006.1130704702518,92.31005147627589,1.6854150369997296,1158.3519118970637,96.2102315598456,0.6756332930003555,15.131384920350577,1204.9826163334503,14.464219345113603,1.4634348335003597,19.766122884205046,1123.6779097734686,55.586166593735435,1.7072190924998722,11.685052381663983
u4_t60,4,60,1226.3175422912598,74.96086611388623,2.6509503245001906,1389.6783670149077,206.8672447210102,1.138844753000376,13.32124992833614,1323.4611539839175,177.00528797647456,2.3682127879992914,7.921570746770364,1414.8185182029338,126.08641512920099,2.686556877500552,15.371302245214363
u4_t80,4,80,1623.2145006314483,99.73070482166092,4.455347069500058,1680.563358076888,135.59355898583595,1.9175208889997157,3.5330424551487454,1750.1796255288184,49.028611928979736,3.8346868559998986,7.821832841437729,1736.0645310592984,57.5441822665506,4.543244666500541,6.952256179571468
u4_t100,4,100,1855.0331347719075,60.54630831440366,6.003745830499975,1872.9753049869512,104.17748288133893,2.7179771354998956,0.967215618887036,1910.6119322663085,35.220214581563106,5.21559496899943,2.9961080722816784,1990.7478032334006,95.49951119505926,6.1082345809992695,7.316023952218
u6_t20,6,20,553.128305081128,18.952586342022745,0.9231000884999958,521.99174768769,14.816380569415337,0.35766936399966653,-5.629174480389532,512.7008962603262,16.861525350379374,0.7442451474996779,-7.30886639671645,539.0264694923073,23.991725922129802,0.9205347095015167,-2.5494691664264666
